canonical,^8.0|7.0|6.4,,^6.3|6.2|6.1,,^5.3|5.2|5.1|5.0,,^3.0,
form_type,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE,1,FORM TYPE
candidate_id_number,2,FILER CANDIDATE ID NUMBER,2,FILER CANDIDATE ID NUMBER,2,FILER FEC CAND ID ,2,FILER FEC CAND ID 
candidate_name,,,,,3,CANDIDATE NAME,3,CANDIDATE NAME
candidate_last_name,3,CANDIDATE LAST NAME,3,CANDIDATE LAST NAME,32,CANDIDATE LAST NAME,,
candidate_first_name,4,CANDIDATE FIRST NAME,4,CANDIDATE FIRST NAME,33,CANDIDATE FIRST NAME,,
candidate_middle_name,5,CANDIDATE MIDDLE NAME,5,CANDIDATE MIDDLE NAME,34,CANDIDATE MIDDLE NAME,,
candidate_prefix,6,CANDIDATE PREFIX,6,CANDIDATE PREFIX,35,CANDIDATE PREFIX,,
candidate_suffix,7,CANDIDATE SUFFIX,7,CANDIDATE SUFFIX,36,CANDIDATE SUFFIX,,
change_of_address,8,CHANGE OF ADDRESS,8,CHANGE OF ADDRESS,,,,
candidate_street_1,9,CANDIDATE STREET 1,9,CANDIDATE STREET 1,4,STREET 1,4,STREET 1
candidate_street_2,10,CANDIDATE STREET 2,10,CANDIDATE STREET 2,5,STREET 2,5,STREET 2
candidate_city,11,CANDIDATE CITY,11,CANDIDATE CITY,6,CITY,6,CITY
candidate_state,12,CANDIDATE STATE,12,CANDIDATE STATE,7,STATE,7,STATE
candidate_zip,13,CANDIDATE ZIP,13,CANDIDATE ZIP,8,ZIP,8,ZIP
candidate_party_code,14,CANDIDATE PARTY CODE,14,CANDIDATE PARTY CODE,9,PTY/CODE,9,PTY/CODE
candidate_office,15,CANDIDATE OFFICE,15,CANDIDATE OFFICE,10,CAN/OFFICE,10,CAN/OFFICE
candidate_state,16,CANDIDATE STATE  ,16,CANDIDATE STATE  ,11,CAN/STATE  ,11,CAN/STATE  
candidate_district,17,CANDIDATE DISTRICT,17,CANDIDATE DISTRICT,12,CAN/DIST,12,CAN/DIST
election_year,18,YEAR OF ELECTION 1900-2999,18,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999,13,YEAR OF ELECTION 1900-2999
committee_id_number,19,PCC COMMITTEE ID NUMBER,19,PCC COMMITTEE ID NUMBER,14,FEC COMMITTEE ID NUMBER (PCC),14,FEC COMMITTEE ID NUMBER (PCC)
committee_name,20,PCC COMMITTEE NAME,20,PCC COMMITTEE NAME,15,COMMITTEE NAME (PCC),15,COMMITTEE NAME (PCC)
committee_street_1,21,PCC STREET 1,21,PCC STREET 1,16,STREET 1,16,STREET 1
committee_street_2,22,PCC STREET 2,22,PCC STREET 2,17,STREET 2,17,STREET 2
committee_city,23,PCC CITY,23,PCC CITY,18,CITY,18,CITY
committee_state,24,PCC STATE,24,PCC STATE,19,STATE,19,STATE
committee_zip,25,PCC ZIP,25,PCC ZIP,20,ZIP,20,ZIP
authorized_committee_id_number,26,AUTH COMMITTEE ID NUMBER,26,AUTH COMMITTEE ID NUMBER,21,FEC COMMITTEE ID NUMBER (Auth),21,FEC COMMITTEE ID NUMBER (Auth)
authorized_committee_name,27,AUTH COMMITTEE NAME,27,AUTH COMMITTEE NAME,22,COMMITTEE NAME (Auth),22,COMMITTEE NAME (Auth)
authorized_committee_street_1,28,AUTH STREET 1,28,AUTH STREET 1,23,STREET 1,23,STREET 1
authorized_committee_street_2,29,AUTH STREET 2,29,AUTH STREET 2,24,STREET 2,24,STREET 2
authorized_committee_city,30,AUTH CITY,30,AUTH CITY,25,CITY,25,CITY
authorized_committee_state,31,AUTH STATE,31,AUTH STATE,26,STATE,26,STATE
authorized_committee_zip,32,AUTH ZIP,32,AUTH ZIP,27,ZIP,27,ZIP
candidate_signature_name,,,,,28,NAME/CAN (as signed),28,NAME/CAN (as signed)
candidate_signature_last_name,33,CANDIDATE SIGNATURE LAST NAME,35,CANDIDATE SIGNATURE LAST NAME,,,,
candidate_signature_first_name,34,CANDIDATE SIGNATURE FIRST NAME,36,CANDIDATE SIGNATURE FIRST NAME,,,,
candidate_signature_middle_name,35,CANDIDATE SIGNATURE MIDDLE NAME,37,CANDIDATE SIGNATURE MIDDLE NAME,,,,
candidate_signature_prefix,36,CANDIDATE SIGNATURE PREFIX,38,CANDIDATE SIGNATURE PREFIX,,,,
candidate_signature_suffix,37,CANDIDATE SIGNATURE SUFFIX,39,CANDIDATE SIGNATURE SUFFIX,,,,
date_signed,38,DATE SIGNED,40,DATE SIGNED,29,DATE (Signed),29,DATE (Signed)
primary_personal_funds_declared,,,33,PRI PERSONAL FUNDS DECLARED,30,PRI PERSONAL FUNDS DECLARED,,
general_personal_funds_declared,,,34,GEN PERSONAL FUNDS DECLARED,31,GEN PERSONAL FUNDS DECLARED,,